transport,consumers,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring,4,65536,12132,11775,18252,26221,116420,3050445
pipe,4,65536,36448,32113,195678,334370,1692440,2252563
unix,4,65536,29425,27277,106026,908186,1783449,1917417
zcring,4,65536,12074,11739,18210,24458,74411,2962608
pipe,4,65536,37192,32105,203881,421274,916483,972431
unix,4,65536,28462,26649,85229,890627,2688278,3502612
zcring,4,65536,12145,11775,18033,24323,106379,3019104
pipe,4,65536,35533,32061,194165,236425,1009592,1274415
unix,4,65536,29223,27294,100313,876030,2552534,3352773
zcring,4,65536,12169,11843,18824,23854,80877,3041221
pipe,4,65536,37283,31793,195051,354058,1431912,3061746
unix,4,65536,27565,26887,81109,229770,2954573,3429549
zcring,4,262144,36167,35254,57253,64227,3004379,3004379
pipe,4,262144,187631,197367,433468,1028980,1308147,1308147
unix,4,262144,81857,87730,162936,251455,313579,313579
zcring,4,262144,36144,35377,57481,62091,3041661,3041661
pipe,4,262144,190715,192755,533963,791954,833116,833116
unix,4,262144,81763,84597,161927,311172,1127767,1127767
zcring,4,262144,36071,35344,55516,148783,3066466,3066466
pipe,4,262144,191747,199294,517931,637609,2637046,2637046
unix,4,262144,85964,87595,166006,1159827,3496036,3496036
zcring,4,262144,36569,35562,58904,66647,3053571,3053571
pipe,4,262144,187563,189007,445325,2068285,2698301,2698301
unix,4,262144,82782,88682,163161,273342,362412,362412
zcring,4,262144,36260,35665,51856,61801,3082741,3082741
pipe,4,262144,192002,193267,425819,1717183,3356208,3356208
unix,4,262144,82922,88726,168334,286808,322732,322732
zcring,4,1048576,6566074,9805474,12973648,13074921,13075619,13075619
pipe,4,1048576,907251,937367,1702049,3779140,4380392,4380392
unix,4,1048576,421975,450656,679441,743173,797458,797458
zcring,4,1048576,6162314,8074646,12742218,13526347,13559832,13559832
pipe,4,1048576,907364,940023,1666531,1984657,3890475,3890475
unix,4,1048576,421814,450978,671025,788981,828219,828219
zcring,4,1048576,6291348,8518562,11838277,13184747,13239066,13239066
pipe,4,1048576,900939,941301,1601682,2234188,2584498,2584498
unix,4,1048576,418600,447487,678820,752049,806304,806304
zcring,4,1048576,7346777,8407867,15203157,15705792,15715412,15715412
pipe,4,1048576,885279,936235,1525572,3047879,3672400,3672400
unix,4,1048576,425567,453761,681739,811828,1020206,1020206
zcring,4,1048576,5594945,5606598,12843860,14539124,14573156,14573156
pipe,4,1048576,897394,939144,1586475,1774867,3325943,3325943
unix,4,1048576,423547,449471,674091,1080777,1195279,1195279
