t_ms,phase_us,seq,spin_ns,gap_ewma_ns,wake_ewma_ns,burn_ewma_ns,blocked
120.735,200,477,26428,242256,6874,30675,1
120.993,200,478,25550,242589,6811,30544,1
121.218,200,479,24702,241862,6751,30389,1
121.477,200,480,25473,242225,6689,30212,1
121.735,200,481,26270,242563,6629,30065,1
121.994,200,482,27091,242895,6578,29948,1
122.219,200,483,27938,242198,6506,29860,1
122.482,200,484,28811,242567,6543,29802,1
122.741,200,485,29712,242799,6573,29774,1
122.999,200,486,30641,243014,6611,29776,1
123.230,200,487,31598,242069,6921,29807,1
123.472,200,488,30548,242051,6921,36422,0
123.738,200,489,29534,242487,6979,36242,1
123.997,200,490,28554,242677,7040,36035,1
124.222,200,491,27606,241815,7088,35804,1
124.481,200,492,26690,242044,7144,35551,1
124.735,200,493,25804,242229,7067,35276,1
124.993,200,494,24948,242567,6992,34984,1
125.218,200,495,24120,241824,6922,34672,1
125.478,200,496,23318,242212,6868,34344,1
125.736,200,497,22544,242539,6806,34001,1
126.000,200,498,21796,242873,6879,33646,1
126.224,200,499,21072,241984,6907,33278,1
126.484,200,500,20372,242234,6971,32901,1
126.742,200,501,19696,242418,7027,32513,1
127.003,200,502,19042,241530,7091,32116,1
127.223,200,503,18410,240513,7166,31711,1
127.482,200,504,17798,240750,7226,31302,1
127.741,200,505,17208,241005,7282,30883,1
127.999,200,506,16636,241242,7307,30459,1
128.223,200,507,17155,240393,7329,30029,1
128.480,200,508,17692,240697,7270,29632,1
128.738,200,509,18245,241078,7199,29260,1
128.997,200,510,18816,241449,7142,28917,1
129.220,200,511,19405,240659,7082,28604,1
129.479,200,512,20012,241060,7032,28318,1
129.742,200,513,20637,241428,7088,28061,1
130.001,200,514,21282,241657,7137,27834,1
130.224,200,515,21947,240786,7163,27632,1
130.485,200,516,22632,241054,7270,27463,1
130.744,200,517,23339,241248,7336,27316,1
131.003,200,518,24068,241457,7408,27195,1
131.232,200,519,24821,240450,7743,27103,1
131.481,200,520,25596,240410,7748,27034,1
131.741,200,521,26395,240713,7782,26992,1
131.996,200,522,27220,240956,7698,26975,1
132.218,200,523,28071,240196,7591,26985,1
132.477,200,524,28948,240614,7513,27021,1
132.736,200,525,29853,240999,7441,27084,1
132.995,200,526,30786,241383,7381,27173,1
133.218,200,527,31749,240617,7300,27288,1
133.477,200,528,32742,241003,7230,27429,1
133.736,200,529,33765,241389,7159,27597,1
133.995,200,530,34820,241756,7098,27791,1
134.223,200,531,35909,241066,7103,28021,1
134.499,200,532,37032,241373,7556,28274,1
134.748,200,533,38189,241024,7720,28557,1
135.004,200,534,39382,240978,7903,28867,1
135.228,200,535,40613,239901,8091,29204,1
135.479,200,536,41882,239870,8149,29565,1
135.730,200,537,43191,240027,8040,29951,1
135.987,200,538,41757,240347,7950,30367,1
136.215,200,539,40371,239804,7845,30725,1
136.469,200,540,39029,240098,7722,31028,1
136.728,200,541,37733,240497,7640,31281,1
136.988,200,542,36479,240901,7569,31484,1
137.221,200,543,35267,240481,7490,31642,1
137.480,200,544,34097,240881,7409,31757,1
137.738,200,545,32965,241260,7326,31832,1
137.997,200,546,31871,241619,7254,31869,1
138.220,200,547,30811,240852,7190,31870,1
138.480,200,548,29789,241266,7127,31839,1
138.745,200,549,28799,241792,7083,31778,1
139.004,200,550,27841,242174,7004,31686,1
139.220,200,551,26917,241181,6932,31567,1
139.479,200,552,26023,241571,6870,31426,1
139.738,200,553,25159,241927,6817,31260,1
139.997,200,554,24325,242278,6767,31072,1
140.220,200,555,23519,241490,6721,30863,1
140.482,200,556,22739,241831,6781,30637,1
140.741,200,557,21985,242043,6844,30393,1
140.998,200,558,22672,242243,6862,30134,1
141.222,200,559,23381,241382,6887,29904,1
141.481,200,560,24112,241642,6940,29705,1
141.740,200,561,24865,241867,6996,29534,1
141.999,200,562,25642,242079,7051,29391,1
142.226,200,563,26443,241278,7121,29277,1
142.486,200,564,27270,241543,7184,29192,1
142.745,200,565,28123,241772,7240,29135,1
143.005,200,566,29002,242006,7295,29109,1
143.228,200,567,29909,240929,7507,29110,1
143.482,200,568,30844,241035,7548,29138,1
143.741,200,569,31807,241279,7580,29195,1
143.995,200,570,32800,241501,7478,29280,1
144.221,200,571,33825,240818,7441,29393,1
144.479,200,572,34882,241183,7360,29533,1
144.738,200,573,35973,241554,7284,29703,1
144.996,200,574,37098,241915,7205,29900,1
145.219,200,575,38257,241133,7149,30128,1
145.478,200,576,36987,241512,7079,30384,1
145.737,200,577,35759,241871,7006,30592,1
145.995,200,578,34571,242216,6938,30756,1
146.221,200,579,33423,241520,6872,30877,1
146.480,200,580,32313,241895,6814,30958,1
146.738,200,581,31239,242245,6732,31002,1
146.998,200,582,30203,242609,6683,31012,1
147.222,200,583,29199,241770,6721,30989,1
147.481,200,584,28229,242094,6690,30935,1
147.740,200,585,27293,242440,6648,30851,1
147.998,200,586,26387,242759,6581,30741,1
148.230,200,587,25511,242179,6586,30608,1
148.490,200,588,24663,242530,6544,30451,1
148.765,200,589,25434,243103,6768,30275,1
149.029,200,590,26229,243266,6932,30131,1
149.286,200,591,27048,243367,6997,30012,1
149.546,200,592,27893,243553,7078,29923,1
149.805,200,593,28764,243700,7137,29862,1
150.059,200,594,29663,243844,7062,29829,1
150.326,200,595,30590,244209,7169,29827,1
150.583,200,596,31545,244355,7096,29855,1
150.837,200,597,32530,244510,6991,29910,1
151.093,200,598,33547,244709,6883,29995,1
151.347,200,599,34596,243958,6778,30107,1
151.603,200,600,35677,244160,6702,30249,1
151.857,200,601,36792,244326,6611,30420,1
152.111,200,602,35570,244493,6534,30620,1
152.375,200,603,34388,244774,6620,30777,1
152.633,200,604,33246,244881,6698,30894,1
152.895,200,605,32142,245068,6785,30971,1
153.156,200,606,31076,245221,6877,31013,1
153.416,200,607,30044,245317,6950,31019,1
153.671,200,608,29046,245422,6919,30993,1
153.931,200,609,28080,245663,6886,30933,1
154.191,200,610,27148,245903,6837,30846,1
154.451,200,611,27997,246137,6803,30733,1
154.710,200,612,28872,246350,6748,30649,1
154.983,200,613,29775,246961,6744,30598,1
155.228,200,614,30706,246642,6725,30574,1
155.488,200,615,31665,246884,6670,30580,1
155.748,200,616,32654,247096,6632,30616,1
156.011,200,617,33675,247318,6680,30682,1
156.228,200,618,32557,245892,6884,30779,1
156.485,200,619,31475,245886,6974,30838,1
156.745,200,620,30429,245954,7073,30862,1
157.002,200,621,29419,245982,7124,30853,1
157.226,200,622,28441,245092,7052,30813,1
157.481,200,623,27497,245224,6980,30740,1
157.734,200,624,28356,245328,6895,30640,1
157.988,200,625,29243,245438,6801,30570,1
158.215,200,626,30156,244743,6713,30530,1
